time,flow
2019-01-01 00:00,0.397
2019-01-02 00:00,0.366
2019-01-03 00:00,0.338
2019-01-04 00:00,0.326
2019-01-05 00:00,0.31
2019-01-06 00:00,0.301
2019-01-07 00:00,0.307
2019-01-08 00:00,0.275
2019-01-09 00:00,0.26
2019-01-10 00:00,0.248
2019-01-11 00:00,0.239
2019-01-12 00:00,0.233
2019-01-13 00:00,0.221
2019-01-14 00:00,0.215
2019-01-15 00:00,0.227
2019-01-16 00:00,0.261
2019-01-17 00:00,0.221
2019-01-18 00:00,0.21
2019-01-19 00:00,0.204
2019-01-20 00:00,0.196
2019-01-21 00:00,0.211
2019-01-22 00:00,0.216
2019-01-23 00:00,0.193
2019-01-24 00:00,0.187
2019-01-25 00:00,0.204
2019-01-26 00:00,0.424
2019-01-27 00:00,0.344
2019-01-28 00:00,0.266
2019-01-29 00:00,0.257
2019-01-30 00:00,0.223
2019-01-31 00:00,0.212
2019-02-01 00:00,0.217
2019-02-02 00:00,0.196
2019-02-03 00:00,0.319
2019-02-04 00:00,0.873
2019-02-05 00:00,0.725
2019-02-06 00:00,0.807
2019-02-07 00:00,0.764
2019-02-08 00:00,2.706
2019-02-09 00:00,1.434
2019-02-10 00:00,0.959
2019-02-11 00:00,0.725
2019-02-12 00:00,0.678
2019-02-13 00:00,0.704
2019-02-14 00:00,0.638
2019-02-15 00:00,0.552
2019-02-16 00:00,0.519
2019-02-17 00:00,0.454
2019-02-18 00:00,0.427
2019-02-19 00:00,0.528
2019-02-20 00:00,0.938
2019-02-21 00:00,0.695
2019-02-22 00:00,0.565
2019-02-23 00:00,0.499
2019-02-24 00:00,0.445
2019-02-25 00:00,0.402
2019-02-26 00:00,0.364
2019-02-27 00:00,0.331
2019-02-28 00:00,0.313
2019-03-01 00:00,0.298
2019-03-02 00:00,0.49
2019-03-03 00:00,0.742
2019-03-04 00:00,0.699
2019-03-05 00:00,0.523
2019-03-06 00:00,1.806
2019-03-07 00:00,1.681
2019-03-08 00:00,1.458
2019-03-09 00:00,1.122
2019-03-10 00:00,0.987
2019-03-11 00:00,1.533
2019-03-12 00:00,3.03
2019-03-13 00:00,2.045
2019-03-14 00:00,1.492
2019-03-15 00:00,1.117
2019-03-16 00:00,1.045
2019-03-17 00:00,1.241
2019-03-18 00:00,1.219
2019-03-19 00:00,1.02
2019-03-20 00:00,0.849
2019-03-21 00:00,0.744
2019-03-22 00:00,0.765
2019-03-23 00:00,0.618
2019-03-24 00:00,0.546
2019-03-25 00:00,0.469
2019-03-26 00:00,0.419
2019-03-27 00:00,0.377
2019-03-28 00:00,0.35
2019-03-29 00:00,0.33
2019-03-30 00:00,0.299
2019-03-31 00:00,0.279
2019-04-01 00:00,0.294
2019-04-02 00:00,0.301
2019-04-03 00:00,0.359
2019-04-04 00:00,0.579
2019-04-05 00:00,0.382
2019-04-06 00:00,0.455
2019-04-07 00:00,0.45
2019-04-08 00:00,0.372
2019-04-09 00:00,0.327
2019-04-10 00:00,0.295
2019-04-11 00:00,0.274
2019-04-12 00:00,0.26
2019-04-13 00:00,0.239
2019-04-14 00:00,0.23
2019-04-15 00:00,0.219
2019-04-16 00:00,0.214
2019-04-17 00:00,0.205
2019-04-18 00:00,0.192
2019-04-19 00:00,0.182
2019-04-20 00:00,0.172
2019-04-21 00:00,0.162
2019-04-22 00:00,0.157
2019-04-23 00:00,0.157
2019-04-24 00:00,0.152
