time,flow
2019-01-01 00:00,0.12
2019-01-02 00:00,0.114
2019-01-03 00:00,0.11
2019-01-04 00:00,0.106
2019-01-05 00:00,0.104
2019-01-06 00:00,0.103
2019-01-07 00:00,0.104
2019-01-08 00:00,0.098
2019-01-09 00:00,0.092
2019-01-10 00:00,0.092
2019-01-11 00:00,0.092
2019-01-12 00:00,0.09
2019-01-13 00:00,0.088
2019-01-14 00:00,0.085
2019-01-15 00:00,0.089
2019-01-16 00:00,0.089
2019-01-17 00:00,0.083
2019-01-18 00:00,0.083
2019-01-19 00:00,0.083
2019-01-20 00:00,0.08
2019-01-21 00:00,0.083
2019-01-22 00:00,0.083
2019-01-23 00:00,0.078
2019-01-24 00:00,0.075
2019-01-25 00:00,0.076
2019-01-26 00:00,0.122
2019-01-27 00:00,0.104
2019-01-28 00:00,0.092
2019-01-29 00:00,0.091
2019-01-30 00:00,0.084
2019-01-31 00:00,0.079
2019-02-01 00:00,0.076
2019-02-02 00:00,0.074
2019-02-03 00:00,0.089
2019-02-04 00:00,0.203
2019-02-05 00:00,0.207
2019-02-06 00:00,0.215
2019-02-07 00:00,0.201
2019-02-08 00:00,0.548
2019-02-09 00:00,0.253
2019-02-10 00:00,0.172
2019-02-11 00:00,0.139
2019-02-12 00:00,0.135
2019-02-13 00:00,0.133
2019-02-14 00:00,0.128
2019-02-15 00:00,0.121
2019-02-16 00:00,0.112
2019-02-17 00:00,0.107
2019-02-18 00:00,0.1
2019-02-19 00:00,0.101
2019-02-20 00:00,0.118
2019-02-21 00:00,0.115
2019-02-22 00:00,0.108
2019-02-23 00:00,0.101
2019-02-24 00:00,0.095
2019-02-25 00:00,0.094
2019-02-26 00:00,0.09
2019-02-27 00:00,0.09
2019-02-28 00:00,0.087
2019-03-01 00:00,0.086
2019-03-02 00:00,0.099
2019-03-03 00:00,0.142
2019-03-04 00:00,0.18
2019-03-05 00:00,0.133
2019-03-06 00:00,0.495
2019-03-07 00:00,0.394
2019-03-08 00:00,0.249
2019-03-09 00:00,0.206
2019-03-10 00:00,0.189
2019-03-11 00:00,0.225
2019-03-12 00:00,0.565
2019-03-13 00:00,0.366
2019-03-14 00:00,0.25
2019-03-15 00:00,0.194
2019-03-16 00:00,0.309
2019-03-17 00:00,0.35
2019-03-18 00:00,0.238
2019-03-19 00:00,0.19
2019-03-20 00:00,0.168
2019-03-21 00:00,0.155
2019-03-22 00:00,0.149
2019-03-23 00:00,0.135
