time,flow
2016-01-01 00:00,0.333
2016-01-02 00:00,0.483
2016-01-03 00:00,0.728
2016-01-04 00:00,0.992
2016-01-05 00:00,1.421
2016-01-06 00:00,0.905
2016-01-07 00:00,1.085
2016-01-08 00:00,0.568
2016-01-09 00:00,0.744
2016-01-10 00:00,0.742
2016-01-11 00:00,0.552
2016-01-12 00:00,0.867
2016-01-13 00:00,0.487
2016-01-14 00:00,0.4
2016-01-15 00:00,0.344
2016-01-16 00:00,0.314
2016-01-17 00:00,0.296
2016-01-18 00:00,0.323
2016-01-19 00:00,0.327
2016-01-20 00:00,0.315
2016-01-21 00:00,0.319
2016-01-22 00:00,0.972
2016-01-23 00:00,0.419
2016-01-24 00:00,0.533
2016-01-25 00:00,0.372
2016-01-26 00:00,1.152
2016-01-27 00:00,0.942
2016-01-28 00:00,0.711
2016-01-29 00:00,0.813
2016-01-30 00:00,0.563
2016-01-31 00:00,0.628
2016-02-01 00:00,1.347
2016-02-02 00:00,0.652
2016-02-03 00:00,0.453
2016-02-04 00:00,0.402
2016-02-05 00:00,0.4
2016-02-06 00:00,0.407
2016-02-07 00:00,0.873
2016-02-08 00:00,0.533
2016-02-09 00:00,0.42
2016-02-10 00:00,0.36
2016-02-11 00:00,0.339
2016-02-12 00:00,0.323
2016-02-13 00:00,0.444
2016-02-14 00:00,0.34
2016-02-15 00:00,0.298
2016-02-16 00:00,0.487
2016-02-17 00:00,0.516
2016-02-18 00:00,0.372
2016-02-19 00:00,0.434
2016-02-20 00:00,0.383
2016-02-21 00:00,0.328
2016-02-22 00:00,0.29
2016-02-23 00:00,0.267
2016-02-24 00:00,0.254
2016-02-25 00:00,0.244
2016-02-26 00:00,0.234
2016-02-27 00:00,0.222
2016-02-28 00:00,0.215
2016-02-29 00:00,0.305
2016-03-01 00:00,0.431
2016-03-02 00:00,0.285
2016-03-03 00:00,0.266
2016-03-04 00:00,0.286
2016-03-05 00:00,0.25
2016-03-06 00:00,0.241
2016-03-07 00:00,0.225
2016-03-08 00:00,0.224
