time,flow
2019-01-01 00:00,4.916
2019-01-02 00:00,4.842
2019-01-03 00:00,4.763
2019-01-04 00:00,4.682
2019-01-05 00:00,4.616
2019-01-06 00:00,4.539
2019-01-07 00:00,4.474
2019-01-08 00:00,4.402
2019-01-09 00:00,4.319
2019-01-10 00:00,2.466
2019-01-11 00:00,2.273
2019-01-12 00:00,2.274
2019-01-13 00:00,2.27
2019-01-14 00:00,2.326
2019-01-15 00:00,3.124
2019-01-16 00:00,3.169
2019-01-17 00:00,3.667
2019-01-18 00:00,4.325
2019-01-19 00:00,4.242
2019-01-20 00:00,4.144
2019-01-21 00:00,4.062
2019-01-22 00:00,4.042
2019-01-23 00:00,2.136
2019-01-24 00:00,2.009
2019-01-25 00:00,2.015
2019-01-26 00:00,2.02
2019-01-27 00:00,2.013
2019-01-28 00:00,2.004
2019-01-29 00:00,2.002
2019-01-30 00:00,1.99
2019-01-31 00:00,1.978
2019-02-01 00:00,1.415
2019-02-02 00:00,1.383
2019-02-03 00:00,1.386
2019-02-04 00:00,1.389
2019-02-05 00:00,1.41
2019-02-06 00:00,1.435
2019-02-07 00:00,1.468
2019-02-08 00:00,1.534
2019-02-09 00:00,2.231
2019-02-10 00:00,2.317
2019-02-11 00:00,2.377
2019-02-12 00:00,3.178
2019-02-13 00:00,3.253
2019-02-14 00:00,4.619
2019-02-15 00:00,4.577
2019-02-16 00:00,4.511
2019-02-17 00:00,4.411
2019-02-18 00:00,4.349
2019-02-19 00:00,2.502
2019-02-20 00:00,1.265
2019-02-21 00:00,1.274
2019-02-22 00:00,1.289
2019-02-23 00:00,1.298
2019-02-24 00:00,1.307
2019-02-25 00:00,1.313
2019-02-26 00:00,1.319
2019-02-27 00:00,1.322
2019-02-28 00:00,1.329
2019-03-01 00:00,1.412
2019-03-02 00:00,1.436
2019-03-03 00:00,1.457
2019-03-04 00:00,1.472
2019-03-05 00:00,1.484
2019-03-06 00:00,1.525
2019-03-07 00:00,1.556
2019-03-08 00:00,1.56
2019-03-09 00:00,2.151
2019-03-10 00:00,2.245
2019-03-11 00:00,1.837
